winner_binary,season,team1,team2,runs_difference,wickets_difference,boundary_difference,team1_wickets,team2_wickets,team1_dot_ball_percentage,team2_dot_ball_percentage,toss_won_by_team1,toss_decision_bat,match_id
1,2016/17,Zimbabwe,West Indies,10,-2,0,1,3,66.66666666666666,66.66666666666666,1,1,1059715
0,2016/17,Zimbabwe,Sri Lanka,-13,-1,-4,2,3,60.0,55.73770491803278,1,1,1059716
0,2017,United Arab Emirates,Papua New Guinea,-6,0,-4,1,1,56.666666666666664,64.70588235294117,0,1,1068737
0,2017/18,Australia,England,-35,-1,-8,1,2,62.295081967213115,53.2258064516129,0,0,1072310
0,2017/18,Australia,England,-4,-1,-3,0,1,56.666666666666664,65.0,1,1,1072311
1,2017/18,England,Australia,-2,0,-1,2,2,60.60606060606061,62.295081967213115,0,0,1072312
0,2017/18,England,Australia,-43,3,-11,5,2,77.41935483870968,65.07936507936508,0,0,1072313
1,2017/18,England,Australia,3,-1,3,0,1,56.451612903225815,59.01639344262295,0,0,1072314
0,2017/18,Bangladesh,South Africa,-17,1,0,1,0,67.1875,46.666666666666664,1,1,1075504
1,2017/18,South Africa,Bangladesh,-12,-1,-5,0,1,46.03174603174603,54.09836065573771,0,0,1075505
1,2017/18,South Africa,Bangladesh,22,-3,4,0,3,50.81967213114754,62.903225806451616,1,1,1075506
1,2017,West Indies,Pakistan,10,-1,4,0,1,64.51612903225806,57.57575757575758,1,0,1077949
0,2017,West Indies,Pakistan,-5,-1,-3,2,3,58.730158730158735,58.333333333333336,1,0,1077950
0,2017,West Indies,Pakistan,-1,-1,-1,2,3,63.33333333333333,62.903225806451616,1,1,1077951
1,2016/17,Hong Kong,Scotland,9,-1,4,0,1,66.66666666666666,61.29032258064516,1,0,1078659
1,2016/17,United Arab Emirates,Scotland,22,-1,5,1,2,60.65573770491803,72.1311475409836,0,1,1078660
1,2016/17,United Arab Emirates,Hong Kong,-25,0,-6,0,0,63.934426229508205,62.295081967213115,1,0,1078661
